"","Date","F","GM","NIO","RIVN","TSLA"
"93",1972-10-11,2.13700008392334,NA,NA,NA,NA
"94",1972-10-12,2.1207799911499,NA,NA,NA,NA
"95",1972-10-13,2.08833909034729,NA,NA,NA,NA
"96",1972-10-16,2.07617402076721,NA,NA,NA,NA
"97",1972-10-17,2.06806397438049,NA,NA,NA,NA
"98",1972-10-18,2.07617402076721,NA,NA,NA,NA
"99",1972-10-19,2.06400895118713,NA,NA,NA,NA
"100",1972-10-20,2.10050392150879,NA,NA,NA,NA
"101",1972-10-23,2.10455989837646,NA,NA,NA,NA
"102",1972-10-24,2.13700008392334,NA,NA,NA,NA
"103",1972-10-25,2.12483501434326,NA,NA,NA,NA
"104",1972-10-26,2.12889003753662,NA,NA,NA,NA
"105",1972-10-27,2.14916491508484,NA,NA,NA,NA
"106",1972-10-30,2.1410551071167,NA,NA,NA,NA
"107",1972-10-31,2.14916491508484,NA,NA,NA,NA
"108",1972-11-01,2.19782495498657,NA,NA,NA,NA
"109",1972-11-02,2.2586510181427,NA,NA,NA,NA
"110",1972-11-03,2.33569598197937,NA,NA,NA,NA
"111",1972-11-06,2.36002588272095,NA,NA,NA,NA
"112",1972-11-08,2.34786105155945,NA,NA,NA,NA
"113",1972-11-09,2.3965220451355,NA,NA,NA,NA
"114",1972-11-10,2.42896199226379,NA,NA,NA,NA
"115",1972-11-13,2.40463209152222,NA,NA,NA,NA
"116",1972-11-14,2.44518208503723,NA,NA,NA,NA
"117",1972-11-15,2.42896199226379,NA,NA,NA,NA
"118",1972-11-16,2.46545696258545,NA,NA,NA,NA
"119",1972-11-17,2.52628207206726,NA,NA,NA,NA
"120",1972-11-20,2.53439211845398,NA,NA,NA,NA
"121",1972-11-21,2.55466794967651,NA,NA,NA,NA
"122",1972-11-22,2.53844809532166,NA,NA,NA,NA
"123",1972-11-24,2.51411700248718,NA,NA,NA,NA
"124",1972-11-27,2.47356700897217,NA,NA,NA,NA
"125",1972-11-28,2.43301701545715,NA,NA,NA,NA
"126",1972-11-29,2.41679692268372,NA,NA,NA,NA
"127",1972-11-30,2.44518208503723,NA,NA,NA,NA
"128",1972-12-01,2.45734691619873,NA,NA,NA,NA
"129",1972-12-04,2.46951198577881,NA,NA,NA,NA
"130",1972-12-05,2.5222270488739,NA,NA,NA,NA
"131",1972-12-06,2.52628207206726,NA,NA,NA,NA
"132",1972-12-07,2.54250311851501,NA,NA,NA,NA
"133",1972-12-08,2.51411700248718,NA,NA,NA,NA
"134",1972-12-11,2.53844809532166,NA,NA,NA,NA
"135",1972-12-12,2.51817202568054,NA,NA,NA,NA
"136",1972-12-13,2.51411700248718,NA,NA,NA,NA
"137",1972-12-14,2.5222270488739,NA,NA,NA,NA
"138",1972-12-15,2.48167705535889,NA,NA,NA,NA
"139",1972-12-18,2.3965220451355,NA,NA,NA,NA
"140",1972-12-19,2.41274189949036,NA,NA,NA,NA
"141",1972-12-20,2.40463209152222,NA,NA,NA,NA
"142",1972-12-21,2.40463209152222,NA,NA,NA,NA
"143",1972-12-22,2.44923710823059,NA,NA,NA,NA
"144",1972-12-26,2.50600695610046,NA,NA,NA,NA
"145",1972-12-27,2.56277799606323,NA,NA,NA,NA
"146",1972-12-29,2.58305311203003,NA,NA,NA,NA
"147",1973-01-02,2.56277799606323,NA,NA,NA,NA
"148",1973-01-03,2.53439211845398,NA,NA,NA,NA
"149",1973-01-04,2.59927296638489,NA,NA,NA,NA
"150",1973-01-05,2.59927296638489,NA,NA,NA,NA
"151",1973-01-08,2.61549305915833,NA,NA,NA,NA
"152",1973-01-09,2.59521794319153,NA,NA,NA,NA
"153",1973-01-10,2.57494306564331,NA,NA,NA,NA
"154",1973-01-11,2.61143803596497,NA,NA,NA,NA
"155",1973-01-12,2.55061292648315,NA,NA,NA,NA
"156",1973-01-15,2.54250311851501,NA,NA,NA,NA
"157",1973-01-16,2.51817202568054,NA,NA,NA,NA
"158",1973-01-17,2.52628207206726,NA,NA,NA,NA
"159",1973-01-18,2.48167705535889,NA,NA,NA,NA
"160",1973-01-19,2.47356700897217,NA,NA,NA,NA
"161",1973-01-22,2.44923710823059,NA,NA,NA,NA
"162",1973-01-23,2.42896199226379,NA,NA,NA,NA
"163",1973-01-24,2.41274189949036,NA,NA,NA,NA
"164",1973-01-26,2.41274189949036,NA,NA,NA,NA
"165",1973-01-29,2.40463209152222,NA,NA,NA,NA
"166",1973-01-30,2.40463209152222,NA,NA,NA,NA
"167",1973-01-31,2.40868711471558,NA,NA,NA,NA
"168",1973-02-01,2.28703594207764,NA,NA,NA,NA
"169",1973-02-02,2.28703594207764,NA,NA,NA,NA
"170",1973-02-05,2.27081608772278,NA,NA,NA,NA
"171",1973-02-06,2.26270604133606,NA,NA,NA,NA
"172",1973-02-07,2.25054097175598,NA,NA,NA,NA
"173",1973-02-08,2.24242997169495,NA,NA,NA,NA
"174",1973-02-09,2.27081608772278,NA,NA,NA,NA
"175",1973-02-12,2.27081608772278,NA,NA,NA,NA
"176",1973-02-13,2.31136608123779,NA,NA,NA,NA
"177",1973-02-14,2.25459599494934,NA,NA,NA,NA
"178",1973-02-15,2.21810007095337,NA,NA,NA,NA
"179",1973-02-16,2.26676106452942,NA,NA,NA,NA
"180",1973-02-20,2.27892589569092,NA,NA,NA,NA
"181",1973-02-21,2.25459599494934,NA,NA,NA,NA
"182",1973-02-22,2.24648594856262,NA,NA,NA,NA
"183",1973-02-23,2.18971490859985,NA,NA,NA,NA
"184",1973-02-26,2.16538500785828,NA,NA,NA,NA
"185",1973-02-27,2.12889003753662,NA,NA,NA,NA
"186",1973-02-28,2.1410551071167,NA,NA,NA,NA
"187",1973-03-01,2.1207799911499,NA,NA,NA,NA
"188",1973-03-02,2.15727496147156,NA,NA,NA,NA
"189",1973-03-05,2.13294506072998,NA,NA,NA,NA
"190",1973-03-06,2.15727496147156,NA,NA,NA,NA
"191",1973-03-07,2.17755007743835,NA,NA,NA,NA
"192",1973-03-08,2.14510989189148,NA,NA,NA,NA
"193",1973-03-09,2.13700008392334,NA,NA,NA,NA
"194",1973-03-12,2.1207799911499,NA,NA,NA,NA
"195",1973-03-13,2.12483501434326,NA,NA,NA,NA
"196",1973-03-14,2.11672496795654,NA,NA,NA,NA
"197",1973-03-15,2.10455989837646,NA,NA,NA,NA
"198",1973-03-16,2.09239411354065,NA,NA,NA,NA
"199",1973-03-19,2.04373407363892,NA,NA,NA,NA
"200",1973-03-20,2.04778909683228,NA,NA,NA,NA
"201",1973-03-21,2.01940393447876,NA,NA,NA,NA
"202",1973-03-22,1.99507403373718,NA,NA,NA,NA
"203",1973-03-23,2.01129388809204,NA,NA,NA,NA
"204",1973-03-26,2.01129388809204,NA,NA,NA,NA
"205",1973-03-27,2.03156900405884,NA,NA,NA,NA
"206",1973-03-28,2.0356240272522,NA,NA,NA,NA
"207",1973-03-29,2.08428406715393,NA,NA,NA,NA
"208",1973-03-30,2.05589890480042,NA,NA,NA,NA
"209",1973-04-02,2.04778909683228,NA,NA,NA,NA
"210",1973-04-03,2.02345895767212,NA,NA,NA,NA
"211",1973-04-04,2.0153489112854,NA,NA,NA,NA
"212",1973-04-05,1.99507403373718,NA,NA,NA,NA
"213",1973-04-06,2.0031840801239,NA,NA,NA,NA
"214",1973-04-09,2.06806397438049,NA,NA,NA,NA
"215",1973-04-10,2.07617402076721,NA,NA,NA,NA
"216",1973-04-11,2.14916491508484,NA,NA,NA,NA
"217",1973-04-12,2.11672496795654,NA,NA,NA,NA
"218",1973-04-13,2.10050392150879,NA,NA,NA,NA
"219",1973-04-16,2.05184388160706,NA,NA,NA,NA
"220",1973-04-17,2.08428406715393,NA,NA,NA,NA
"221",1973-04-18,2.08428406715393,NA,NA,NA,NA
"222",1973-04-19,2.12889003753662,NA,NA,NA,NA
"223",1973-04-23,2.10050392150879,NA,NA,NA,NA
"224",1973-04-24,2.02345895767212,NA,NA,NA,NA
"225",1973-04-25,1.99101901054382,NA,NA,NA,NA
"226",1973-04-26,2.0031840801239,NA,NA,NA,NA
"227",1973-04-27,1.95452296733856,NA,NA,NA,NA
"228",1973-04-30,1.99101901054382,NA,NA,NA,NA
"229",1973-05-01,1.97885394096375,NA,NA,NA,NA
"230",1973-05-02,2.00723910331726,NA,NA,NA,NA
"231",1973-05-03,2.07617402076721,NA,NA,NA,NA
"232",1973-05-04,2.08022904396057,NA,NA,NA,NA
"233",1973-05-07,2.06806397438049,NA,NA,NA,NA
"234",1973-05-08,2.06400895118713,NA,NA,NA,NA
"235",1973-05-09,1.9829089641571,NA,NA,NA,NA
